description,change1_sh,up1_sh,down1_sh,total1,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total2,total3,total4,up2_sh,up3_sh,up4_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change2_sh,change3_sh,change4_sh,division,_merge
HOTEL 1 NIGHT PRICE,.42593294,.22092454,.20500842,18409,4067,1001,40,0,3774,964,70,0,10568,1371,52,0,.13039023,.1454587,.11331515,,-.1224157,-.13182548,-.10141531,,3336,162,0,.30005994,.24691358,,.28896883,.43209878,,.57406706,.41097122,.32098764,,.58902878,.67901236,,11,matched (3)
RASPBERRIES PUNNET OR PER KGRASPBERRIES PUNNET OR PER KGRASPBERRIES PUNNET OR PER KG,.42258823,.20815687,.21443138,6375,1327,1129,357,202,1367,1269,531,339,3681,3086,990,679,.14379232,.14830814,.12376084,.1190156,-.14060552,-.14579603,-.098209642,-.10873329,5484,1878,1220,.20587163,.19009584,.16557378,.23140043,.2827476,.27786887,.57741177,.56272793,.52715653,.55655736,.43727207,.47284344,.44344264,1,matched (3)
POTATOES-NEW-LOOSE-PER KG,.42152664,.19150187,.23002477,47634,9122,496,224,112,10957,576,258,86,27555,3329,1241,681,.31835848,.24958013,.26232773,.21327065,-.20300925,-.18854994,-.19253896,-.1942436,4401,1723,879,.11270166,.13000581,.12741752,.13087934,.14973883,.097838454,.57847339,.756419,.72025537,.77474403,.243581,.27974463,.22525597,1,matched (3)
FROZEN TURKEY- PER KG- SPECIFY,.42121321,.21837531,.20283788,14095,3078,0,0,0,2859,0,0,0,8158,0,0,0,.24884349,,,,-.17628159,,,,0,0,0,,,,,,,.57878679,,,,,,,1,matched (3)
VACUUM CLEANER 2009,.42110991,.19695321,.22415669,1838,362,0,0,0,412,0,0,0,1064,0,0,0,.14126271,,,,-.10992017,,,,0,0,0,,,,,,,.57889009,,,,,,,5,matched (3)
PEARS-DESSERT-PER KG,.42037719,.24292278,.17745441,76831,18664,718,101,49,13634,693,77,11,44533,7164,998,526,.1566176,.21595696,.15943098,.20546694,-.14841026,-.18934241,-.14687221,-.11047681,8575,1176,586,.083731778,.085884355,.083617747,.080816329,.065476194,.018771332,.57962281,.8354519,.84863943,.8976109,.1645481,.15136054,.10238908,1,matched (3)
"FLAT PANEL TV 14""-25""",.41930556,.14430556,.27500001,7200,1039,0,0,0,1980,0,0,0,4181,0,0,0,.1144342,,,,-.091688849,,,,0,0,0,,,,,,,.58069444,,,,,,,9,matched (3)
BODY M'RISING LOTION 200-400MLBODY M'RISING LOTION 200-400MLBODY M'RISING LOTION 200-400ML,.4175618,.2172208,.200341,5865,1274,1079,340,230,1175,1071,381,243,3416,3028,1001,570,.51492471,.50327647,.59852934,.5549711,-.35784104,-.35680676,-.36119094,-.37185252,5178,1722,1043,.20838161,.19744483,.22051774,.20683661,.22125435,.23298179,.58243817,.58478177,.5813008,.5465005,.41521823,.41869918,.45349953,12,matched (3)
BOTTLE OF CHAMPAGNE 75 CL,.41521579,.21621352,.19900225,20045,4334,972,188,91,3989,951,162,97,11722,2350,446,302,.22810298,.27125734,.18273462,.1319616,-.18599176,-.21903799,-.19516292,-.18648633,4273,796,490,.22747484,.2361809,.18571429,.22256026,.20351759,.19795918,.58478421,.5499649,.56030148,.61632651,.4500351,.43969849,.38367349,2,matched (3)
WOMENS SHORT SLEEVE FORMAL TOP,.41396284,.19459984,.21936302,13407,2609,1974,355,194,2941,2148,436,254,7857,5770,1085,677,.39751467,.40609065,.37602308,.26061434,-.28610507,-.28753605,-.24994245,-.25328317,9892,1876,1125,.1995552,.18923241,.17244445,.21714517,.23240939,.22577778,.58603716,.58329964,.57835823,.60177779,.41670036,.4216418,.39822221,3,matched (3)
HK PORK LEG (FOOT OFF) KG,.41301581,.22850391,.1845119,16503,3771,0,0,0,3045,0,0,0,9687,0,0,0,.1313424,,,,-.13433543,,,,0,0,0,,,,,,,.58698416,,,,,,,1,matched (3)
"FLAT PANEL TV 26"" - 42""",.41167262,.13305008,.27862254,4472,595,0,0,0,1246,0,0,0,2631,0,0,0,.10893463,,,,-.093407631,,,,0,0,0,,,,,,,.58832735,,,,,,,9,matched (3)
FRIDGE/FREEZER SPEC CAPACITIES,.41020423,.2057427,.20446153,13269,2730,1587,285,175,2713,1484,265,181,7826,4693,773,457,.086057246,.09176866,.09853626,.074588433,-.077383913,-.086716563,-.085238904,-.087293431,7764,1323,813,.20440495,.2154195,.21525215,.1911386,.20030235,.22263223,.58979577,.60445648,.58427817,.56211561,.39554355,.41572183,.43788439,5,matched (3)
"FLAT PANEL TV 14-22""/35-55CM",.40965617,.19403803,.21561815,5468,1061,442,0,0,1179,351,0,0,3228,1270,0,0,.13753663,.08484903,,,-.1089312,-.094267964,,,2063,0,0,.21425109,,,.17014058,,,.59034383,.61560833,,,.38439167,,,9,matched (3)
VACUUM CLEANER,.40955564,.19760525,.21195039,25723,5083,1265,267,162,5452,1452,208,118,15188,5098,1169,729,.18155681,.18368956,.11289575,.10904419,-.16252695,-.15526199,-.12404379,-.11895331,7815,1644,1009,.1618682,.16240875,.16055501,.18579654,.12652068,.11694747,.59044433,.65233523,.71107054,.72249752,.34766474,.28892943,.27750248,5,matched (3)
WOMENS DRESS -CASUAL/FORMAL,.40757161,.17915969,.22841194,43531,7799,2108,381,193,9943,2432,453,272,25789,5824,1068,685,.34075856,.37331015,.33601943,.29532337,-.26453555,-.26529935,-.22858846,-.24002725,10364,1902,1150,.20339637,.20031546,.16782609,.23465843,.23817034,.23652174,.59242839,.5619452,.5615142,.59565216,.4380548,.4384858,.40434784,3,matched (3)
VACUUM CLEANER - 2007,.40717432,.19131529,.21585903,1589,304,0,0,0,343,0,0,0,942,0,0,0,.1731609,,,,-.14582177,,,,0,0,0,,,,,,,.59282565,,,,,,,5,matched (3)
CIGARETTES 18,.40214419,.3044636,.097680613,14271,4345,0,0,0,1394,0,0,0,8532,0,0,0,.018855831,,,,-.014955102,,,,0,0,0,,,,,,,.59785581,,,,,,,2,matched (3)
LAGER 12 - 24 CANS (440-500ML),.4015466,.1993081,.2022385,24570,4897,968,116,49,4969,935,146,83,14704,2904,564,386,.15959674,.14535145,.10765173,.10375458,-.12231272,-.1238471,-.1119616,-.11931617,4807,826,518,.201373,.14043583,.094594598,.19450802,.17675544,.16023166,.5984534,.604119,.6828087,.74517375,.395881,.31719127,.25482625,2,matched (3)
LEATHER SETTEE,.40139526,.20505345,.1963418,28812,5908,1119,131,71,5657,1113,148,99,17247,3231,500,285,.19705547,.20923151,.15658954,.15895922,-.16338859,-.16589563,-.099479564,-.076989748,5463,779,455,.20483251,.16816431,.15604396,.20373422,.18998717,.21758242,.59860474,.59143329,.6418485,.62637365,.40856671,.3581515,.37362638,5,matched (3)
3 PIECE NON-LEATHER SUITE,.39963478,.2043529,.19528186,33403,6826,989,0,0,6523,1027,0,0,20054,2602,0,0,.13899268,.14961673,,,-.12938777,-.13416782,,,4618,0,0,.21416198,,,.22239065,,,.60036522,.56344736,,,.43655264,,,5,matched (3)
