description,type,name,region_s,year,price
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,Yorkshire & Humber,1989,25
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,North West,1989,22.5
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,North,1989,34.950001
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,Wales,1989,22.99
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,Scotland,1989,21.99
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,Northern Ireland,1989,9.5500002
LADIES HAND/SHLDER BAG,Presents,Handbag,London,1989,17.99
LADIES HAND/SHLDER BAG,Presents,Handbag,South East,1989,12.99
LADIES HAND/SHLDER BAG,Presents,Handbag,South West,1989,12.969999
LADIES HAND/SHLDER BAG,Presents,Handbag,East Anglia,1989,15.5
LADIES HAND/SHLDER BAG,Presents,Handbag,East Midlands,1989,12.99
LADIES HAND/SHLDER BAG,Presents,Handbag,West Midlands,1989,15.95
LADIES HAND/SHLDER BAG,Presents,Handbag,Yorkshire & Humber,1989,9.9899998
LADIES HAND/SHLDER BAG,Presents,Handbag,North West,1989,15.99
LADIES HAND/SHLDER BAG,Presents,Handbag,North,1989,7.9899998
LADIES HAND/SHLDER BAG,Presents,Handbag,Wales,1989,13.99
LADIES HAND/SHLDER BAG,Presents,Handbag,Scotland,1989,10.99
LADIES HAND/SHLDER BAG,Presents,Handbag,Northern Ireland,1989,16.950001
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",Catalogue collections,1989,18.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",London,1989,15.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",South East,1989,14.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",South West,1989,16.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",East Anglia,1989,15.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",East Midlands,1989,14.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",West Midlands,1989,15.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",Yorkshire & Humber,1989,14.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",North West,1989,15.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",North,1989,14.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",Wales,1989,15.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",Scotland,1989,17.99
MEN'S JUMPER-KNITTED,Presents,"Jumper, man's",Northern Ireland,1989,19.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",Catalogue collections,1989,15.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",London,1989,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",South East,1989,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",South West,1989,15.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",East Anglia,1989,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",East Midlands,1989,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",West Midlands,1989,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",Yorkshire & Humber,1989,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",North West,1989,16.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",North,1989,14.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",Wales,1989,16.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",Scotland,1989,15.99
WOMEN'S JUMPER,Presents,"Jumper, woman's",Northern Ireland,1989,15.99
