time_period,ref_area,indicator,breakdown,unit_measure,value
2018,EL,desi_3b4_vidcall,ind_total,pc_ind_iu3,0.479029
2019,BG,desi_3b5_socnet,ind_total,pc_ind_iu3,0.79284
2019,LT,desi_3b5_socnet,ind_total,pc_ind_iu3,0.726895
2018,DE,desi_3c3_sell,ind_total,pc_ind_iu3,0.343674
2018,ES,desi_3c3_sell,ind_total,pc_ind_iu3,0.154624
2018,FI,desi_3c3_sell,ind_total,pc_ind_iu3,0.252471
2019,HR,desi_3c3_sell,ind_total,pc_ind_iu3,0.330047
2019,IE,desi_3c3_sell,ind_total,pc_ind_iu3,0.293736
2019,IT,desi_3c3_sell,ind_total,pc_ind_iu3,0.111143
2019,PL,desi_3c3_sell,ind_total,pc_ind_iu3,0.183063
2019,SI,desi_3c3_sell,ind_total,pc_ind_iu3,0.222508
2019,BG,desi_2b1_ictspec,total,pc_ind_emp,0.023
2019,HR,desi_2b1_ictspec,total,pc_ind_emp,0.033
2019,HU,desi_2b1_ictspec,total,pc_ind_emp,0.036
2019,IT,desi_2b1_ictspec,total,pc_ind_emp,0.026
2019,EE,desi_2b2_fictspec,total,pc_ind_fem_emp,0.0224439
2018,LV,desi_2b2_fictspec,total,pc_ind_fem_emp,0.0107669
2019,PT,desi_2b2_fictspec,total,pc_ind_fem_emp,0.00658296
2019,BE,desi_2b3_ictg,total,pc_grad,0.016
2019,LU,desi_2b3_ictg,total,pc_grad,0.058
2019,MT,desi_2b3_ictg,total,pc_grad,0.068
2018,SK,desi_2b3_ictg,total,pc_grad,0.029
2018,MT,desi_4a4_cloud,ent_all_xfin,pc_ent,
2018,IE,desi_4a3_bigdat,ent_all_xfin,pc_ent,
2018,BE,desi_4a4_cloud,ent_all_xfin,pc_ent,
2019,IE,desi_5a5_opendata,total,od_score,
2019,AT,desi_5a5_opendata,total,od_score,
2019,SI,desi_5a5_opendata,total,od_score,
2015,EU,desi_5a4_psb,all_egov_le,egov_score,70.9769
2015,EU,desi_sliders,desi_3_ui,pc_desi_sliders,0.450085
2015,EU,desi_sliders,desi_4_idt,pc_desi_sliders,0.292229
2015,EU,desi_sliders,desi_5_dps,pc_desi_sliders,0.502141
2015,EE,desi_4a2_socmed,ent_all_xfin,pc_ent,0.079073
2015,LU,desi_4a2_socmed,ent_all_xfin,pc_ent,0.145868
2015,MT,desi_4a2_socmed,ent_all_xfin,pc_ent,0.239383
2015,PT,desi_4a2_socmed,ent_all_xfin,pc_ent,0.113535
2015,SK,desi_4a2_socmed,ent_all_xfin,pc_ent,0.103031
2015,CY,desi_4a4_cloud,ent_all_xfin,pc_ent,0.049224
2015,DE,desi_4a4_cloud,ent_all_xfin,pc_ent,0.061609
2015,EE,desi_4a4_cloud,ent_all_xfin,pc_ent,0.093587
2015,ES,desi_4a4_cloud,ent_all_xfin,pc_ent,0.093044
2015,FI,desi_4a4_cloud,ent_all_xfin,pc_ent,0.328095
2015,LU,desi_4a4_cloud,ent_all_xfin,pc_ent,0.069101
2015,UK,desi_4a4_cloud,ent_all_xfin,pc_ent,0.146522
2015,AT,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,0.07103
2015,CZ,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,0.184825
2015,IE,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,0.170768
2015,LV,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,0.074941
2015,RO,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,0.042601
2015,DE,desi_3a1_notiu,ind_total,pc_ind,0.110001
2015,ES,desi_3a1_notiu,ind_total,pc_ind,0.214301
2015,HR,desi_3a1_notiu,ind_total,pc_ind,0.277169
2015,IT,desi_3a1_notiu,ind_total,pc_ind,0.315105
2015,NL,desi_3a1_notiu,ind_total,pc_ind,0.049481
2015,SI,desi_3a1_notiu,ind_total,pc_ind,0.240583
2015,AT,desi_3a2_iu,ind_total,pc_ind,0.773128
2015,CY,desi_3a2_iu,ind_total,pc_ind,0.652971
2015,DE,desi_3a2_iu,ind_total,pc_ind,0.823101
2015,ES,desi_3a2_iu,ind_total,pc_ind,0.712154
2015,FI,desi_3a2_iu,ind_total,pc_ind,0.898822
2015,FR,desi_3a2_iu,ind_total,pc_ind,0.799962
2015,IE,desi_3a2_iu,ind_total,pc_ind,0.763126
2015,IT,desi_3a2_iu,ind_total,pc_ind,0.594474
