Industry,Year,RLP,lRLP,Lrlp_rel,Empl,Turn,Units,E (m),T (m),N firms
Other service,2014,42.84,0.72,0.72,60,2636,20866,0.4,16.43,73867
Automotives,2014,97.3,0.89,0.89,80,20391,34079,0.53,87.22,71810
Recreation & Culture,2015,61.41,1.15,1.15,109,10125,28398,0.75,44.62,87130
Construction,2015,70.75,0.84,0.84,64,11150,110498,1.25,144.54,249605
Hospitality,2015,32.35,0.63,0.63,315,12758,80225,2.22,84.84,147773
Wholesale,2015,110.03,1.15,1.15,111,30217,56176,0.98,193.28,98240
Transport,2015,53.07,0.76,0.76,205,22901,16137,0.54,48.39,53890
Manufacturing,2015,64.96,0.91,0.9,174,49306,73862,2.52,371.13,146240
IT,2015,49.81,0.86,0.86,79,16319,20710,0.67,77.36,153222
z. Other industries,2015,71.55,1.17,1.15,360,48669,131178,2.16,261.7,262476
Automotives,2015,97.56,0.88,0.88,80,22709,33395,0.54,90.13,72491
Other service,2015,41.54,0.71,0.71,58,2737,20338,0.4,16.77,74643
Other business,2015,60.43,0.91,0.91,166,11922,119667,4.17,288.93,588867
Retail,2015,62.98,0.87,0.87,970,144570,146356,3.12,350.89,195926
IT,2016,50.76,0.85,0.85,74,15361,20918,0.71,82.34,165007
Wholesale,2016,111.67,1.16,1.16,121,29786,54745,1,196.48,97371
Automotives,2016,98.06,0.88,0.88,89,27078,33031,0.54,96.93,73635
Other service,2016,41.9,0.69,0.69,57,3085,19841,0.4,17.15,75121
Retail,2016,65.6,0.87,0.87,972,140436,144227,3.11,352.08,195676
Transport,2016,53.77,0.76,0.76,219,22358,16185,0.58,50.31,61115
Manufacturing,2016,66.39,0.92,0.91,161,40791,72579,2.49,362.2,149842
z. Other industries,2016,72.61,1.18,1.16,347,49121,132045,2.21,275.5,269129
Other business,2016,62.12,0.92,0.92,167,11927,121741,4.31,306.34,623547
Hospitality,2016,34.11,0.64,0.64,299,13293,79786,2.23,89.78,149309
Construction,2016,74.1,0.84,0.84,58,12540,105855,1.25,153.99,263050
Recreation & Culture,2016,61.72,1.14,1.14,112,10896,28588,0.8,48.82,90397
Transport,2017,52.48,0.78,0.78,198,22392,15826,0.57,50.69,67182
Automotives,2017,97.37,0.87,0.87,88,24855,32456,0.54,90.92,75233
Recreation & Culture,2017,63.14,1.14,1.14,112,11096,28793,0.82,52.27,93071
IT,2017,51.33,0.85,0.85,72,15406,20756,0.74,86.47,172972
Construction,2017,74.95,0.83,0.83,58,12264,101208,1.3,163.69,277967
Hospitality,2017,34.27,0.64,0.64,331,14063,80809,2.34,94.9,151681
Other service,2017,41.79,0.68,0.68,78,3962,19818,0.41,18.3,74673
Other business,2017,59.59,0.89,0.89,160,12135,122998,4.42,325.02,663079
Manufacturing,2017,65.79,0.91,0.9,154,34915,71195,2.48,354.05,152089
Retail,2017,65.38,0.87,0.87,953,135520,142088,3.11,355.9,200221
Wholesale,2017,111.16,1.16,1.16,113,31957,54348,1.02,204.89,97067
z. Other industries,2017,71.92,1.18,1.15,342,48733,135000,2.29,285.27,282570
z. Other industries,2018,72.85,1.17,1.15,347,48096,135455,2.4,297.11,289078
Other service,2018,41.66,0.67,0.67,77,4030,19633,0.41,18.59,74648
Wholesale,2018,112.23,1.16,1.16,126,35840,53416,1.03,212.33,95994
Transport,2018,55.2,0.8,0.8,197,28144,15740,0.59,57.99,62673
Automotives,2018,97.74,0.88,0.88,93,27973,31985,0.54,92.41,75761
Construction,2018,75.65,0.83,0.83,56,11381,98173,1.33,168.42,286647
Manufacturing,2018,66.39,0.92,0.91,168,43061,71077,2.52,369.42,152806
Recreation & Culture,2018,62.94,1.14,1.14,120,10526,29443,0.85,53.6,93791
Other business,2018,59.99,0.9,0.9,171,12898,125419,4.51,333.92,643649
Hospitality,2018,35.03,0.65,0.65,321,15122,83896,2.43,101.3,154653
Retail,2018,66.66,0.88,0.88,922,135802,141558,3.14,373.14,205285
IT,2018,52.48,0.86,0.86,69,14566,21046,0.75,87.3,174490
Manufacturing,2019,68.01,0.92,0.91,156,39225,71006,2.51,378.34,154405
IT,2019,52.81,0.87,0.87,68,15096,21792,0.79,92.75,180269
Wholesale,2019,114.15,1.17,1.17,124,32557,52565,1.01,209.46,96105
Hospitality,2019,35.95,0.66,0.66,299,15201,84910,2.45,106.85,158468
Other business,2019,60.25,0.9,0.9,178,13545,126651,4.56,348.07,651960
Automotives,2019,97.44,0.89,0.89,97,29017,32003,0.55,97.26,76912
Transport,2019,53.24,0.76,0.76,178,20527,15775,0.58,55.83,66121
z. Other industries,2019,75.74,1.18,1.16,357,54057,134798,2.41,299.13,289760
Recreation & Culture,2019,64.21,1.15,1.15,153,13028,32129,0.9,60.33,96169
Retail,2019,67.74,0.91,0.91,900,132429,140188,3.12,370.88,211976
Other service,2019,41.96,0.66,0.66,76,4656,19657,0.4,18.97,75213
Construction,2019,76.48,0.83,0.83,66,13200,95698,1.37,178.9,295467
z. Other industries,2020,79.34,1.18,1.16,382,37950,141669,2.66,310.04,293240
Other business,2020,62,0.9,0.9,165,13982,126785,4.58,366.63,655092
Hospitality,2020,37.61,0.67,0.67,307,15582,87765,2.5,111.27,163253
Retail,2020,70.83,0.93,0.93,547,53913,135438,2.66,275.88,212073
Construction,2020,79.11,0.83,0.83,66,12951,92558,1.37,183.83,301770
Transport,2020,53.55,0.79,0.79,173,23680,15700,0.62,62.52,74771
Other service,2020,41.99,0.66,0.66,44,2996,18984,0.38,17.87,76178
Automotives,2020,99.53,0.88,0.88,87,25423,30869,0.52,90.95,76120
IT,2020,54.52,0.88,0.88,71,16080,22375,0.8,98.15,179003
Wholesale,2020,117.41,1.16,1.16,116,34061,51040,1,214.62,94078
Manufacturing,2020,69.21,0.92,0.91,454,35543,74966,2.76,389.25,154834
Recreation & Culture,2020,67.71,1.15,1.15,120,10139,32299,0.87,57.84,97903
