Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Q1 2021,Q2 2021,Q3 2021,Q4 2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Japan,,,,,,,,,,,,,,,,,"217,603","220,807","215,825","287,658","360,990","400,413","467,625","673,060","842,519","842,980","894,791","967,392","1,024,639","1,053,878","1,105,218","1,293,386","1,264,796","1,268,023","1,252,494","1,232,756","1,220,418","1,261,272","1,265,290","1,323,107","1,387,860","1,415,654","1,365,143","1,373,689","1,405,126","1,415,654","1,222,571","1,348,660","1,305,837","1,233,849","1,222,571"
Jordan,"2,017","1,968","1,788",,,,,,,,,,,,,,"1,957","2,401","1,955","2,749","3,430","3,174","4,117","5,366","5,446","5,448","6,978","7,929","8,916","12,123","13,617","12,084","8,817","13,805","16,021","16,546","15,518","15,559","14,556","15,380","16,936","19,018","16,552","16,708","17,895","19,018",,"19,015",,,
"Kazakhstan, Rep. of",,,,,,,,,,,,,,,,,,"2,289","1,965","2,002","2,096","2,508","3,141","4,962","9,281","7,070","19,127","17,629","19,849","23,077","28,246","29,301","28,269","24,715","29,209","27,871","29,713","30,999","30,927","28,958","35,638","34,378","33,506","35,049","35,513","34,378",,"33,124","31,952","32,645",
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900","3,840","4,008","4,249","5,713","6,649","8,013","7,498","7,347","7,332","8,365",,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,390,521,600,598,648,551,565,619,677,812,774,"1,118","1,000","1,111","1,034","1,079","1,073","1,111",,,,,
"Korea, Rep. of",,,,,,,,,,,,,,,"22,340","29,350","29,422","8,872","48,510","74,054","96,198","102,822","121,414","155,355","199,069","210,391","238,957","262,224","201,220","270,012","291,571","306,422","326,969","346,460","363,594","367,958","371,116","389,279","403,694","408,816","443,098","463,118","446,129","454,104","463,911","463,118","423,164","457,798","438,209","416,821","423,164"
"Kosovo, Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,,,960,933,830,832,731,959,957,783,771,638,820,881,969,"1,104","1,246",959,"1,125","1,420","1,246",,"1,268","1,329","1,444",
Kuwait,,,,,,,,,,,,,,,,,,,,,,"9,975","9,306","7,681","8,345","8,967","12,670","16,766","17,219","20,369","21,337","25,894","28,981","32,275","32,195","28,310","31,098","33,662","37,077","39,883","48,299","45,140","44,460","45,589","46,432","45,140",,"45,695","46,765","44,973",
Kyrgyz Rep.,,,,,,,,,,,,,,33,59,58,84,132,126,183,204,236,290,359,544,608,814,"1,194","1,223","1,581","1,710","1,816","2,012","2,002","1,640","1,468","1,774","1,971","1,920","2,177","2,630","2,779","2,348","2,552","3,056","2,779",,"2,503","2,458","2,319",
Lao People's Dem. Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,586,772,833,873,944,746,975,"1,177","1,493","2,023","2,350","4,529","5,837","5,146","6,922","7,734","6,394","7,499","7,974","3,227","3,446","3,515","4,619","4,370","4,481","5,290","5,491","5,324","5,278","5,568","5,491","4,460","5,280","4,838","4,331","4,460"
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lesotho, Kingdom of",,,,,,,,,,,,,,,,457,461,572,575,500,420,424,447,503,595,573,706,"1,003",972,"1,522","1,531",903,"1,016","1,045","1,071",916,841,713,677,751,856,882,812,808,913,882,,896,713,659,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,466,513,497,493,509,532,537,483,401,349,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
